"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"03.03.2026","7,764.9","7,806.3","7,855.9","7,673.1","","-4.58%"
"02.03.2026","8,137.4","7,919.9","8,144.3","7,908.8","","0.48%"
"27.02.2026","8,098.4","8,036.8","8,140.0","8,009.3","","-1.21%"
"26.02.2026","8,197.3","8,403.0","8,422.1","8,062.1","","-3.19%"
"25.02.2026","8,467.4","8,442.8","8,498.1","8,418.5","","1.62%"
"24.02.2026","8,332.3","8,314.7","8,387.6","8,225.7","","1.45%"
"23.02.2026","8,213.5","8,248.4","8,291.4","8,124.3","","-0.57%"
"20.02.2026","8,260.4","8,109.0","8,308.3","8,106.0","","1.07%"
"19.02.2026","8,173.3","8,133.2","8,182.4","8,076.8","","-0.50%"
"18.02.2026","8,214.4","8,170.3","8,303.3","8,137.5","","0.96%"
"17.02.2026","8,136.0","8,022.0","8,210.5","7,927.0","","-0.02%"
"13.02.2026","8,137.9","8,137.9","8,137.9","8,137.9","","0.66%"
"12.02.2026","8,084.7","8,358.1","8,400.0","8,079.8","","-2.50%"
"11.02.2026","8,291.9","8,263.2","8,345.7","8,100.6","","2.28%"
"10.02.2026","8,107.1","8,191.6","8,197.9","8,051.9","","-0.68%"
"09.02.2026","8,162.6","7,991.2","8,209.6","7,948.5","","1.42%"
"06.02.2026","8,048.6","7,762.1","8,071.5","7,752.5","","5.70%"
"05.02.2026","7,614.6","7,531.9","7,727.3","7,473.8","","-0.06%"
"04.02.2026","7,619.2","7,863.1","7,955.5","7,461.7","","-4.36%"
"03.02.2026","7,966.3","8,203.0","8,239.6","7,796.5","","-2.07%"
"02.02.2026","8,134.5","7,955.1","8,215.4","7,954.7","","1.70%"
"30.01.2026","7,998.5","8,206.3","8,310.0","7,947.9","","-3.87%"
"29.01.2026","8,320.4","8,340.0","8,387.0","8,020.9","","0.16%"
"28.01.2026","8,306.7","8,287.5","8,341.8","8,227.5","","2.34%"
"27.01.2026","8,117.2","8,030.4","8,157.3","8,009.5","","2.40%"
"26.01.2026","7,927.0","7,917.2","7,982.9","7,881.4","","-0.39%"
