security,correlation,beta,r2,benchmark
SOX,0.10989,0.11778,0.01208,BRENT
IVW,0.108,0.06786,0.01166,BRENT
QCOM,0.1078,0.12206,0.01162,BRENT
GFNORTEO,0.10471,0.10078,0.01096,BRENT
GFINBURO,0.09407,0.08683,0.00885,BRENT
CEMEXCPO,0.08925,0.09619,0.00797,BRENT
NASDAQ,0.08432,0.05728,0.00711,BRENT
BBVA,0.08046,0.07493,0.00647,BRENT
ASURB,0.07477,0.06682,0.00559,BRENT
OMAB,0.07287,0.07182,0.00531,BRENT
NVDA,0.07152,0.11074,0.00512,BRENT
GCARSOA1,0.06614,0.0694,0.00437,BRENT
KIMBERA,0.06498,0.04945,0.00422,BRENT
MARA,0.06135,0.20916,0.00376,BRENT
TerraClassicUSD,0.06098,0.22028,0.00372,BRENT
PINFRA,0.05447,0.04207,0.00297,BRENT
AUTLANB,0.04356,0.03643,0.0019,BRENT
LIVEPOLC1,0.04259,0.02928,0.00181,BRENT
USDMXNm,0.0414,0.03842,0.00171,BRENT
CHDRAUIB,0.03306,0.02502,0.00109,BRENT
MU,0.03105,0.20723,0.00096,BRENT
URTH,0.0306,0.06189,0.00094,BRENT
ALPEKA,0.02879,0.03052,0.00083,BRENT
NFLX,0.0268,0.03445,0.00072,BRENT
IYY,0.02641,0.05729,0.0007,BRENT
NEMAKA,0.02454,0.02704,0.0006,BRENT
XAU_USD,0.01797,0.04235,0.00032,BRENT
inflationmex,0.01558,0.00186,0.00024,BRENT
XLV,0.01273,0.00546,0.00016,BRENT
KOFUBL,0.00251,0.00171,1e-05,BRENT
BIMBOA,-0.01791,-0.01649,0.00032,BRENT
USD_XAU,-0.02018,-260.8471,0.00041,BRENT
USDEUR,-0.02141,-0.00482,0.00046,BRENT
BACHOCOB,-0.0405,-0.03161,0.00164,BRENT
DXY,-0.05846,-0.01218,0.00342,BRENT
USDMXN,-0.11494,-0.03805,0.01321,BRENT
UVIX,-0.12643,-0.54271,0.01598,BRENT
GPAGF,-0.14608,-0.48162,0.02134,BRENT
VIX,-0.14902,-0.57001,0.02221,BRENT
inflationusa,-0.4075,-0.05968,0.16605,BRENT
