security,correlation,beta,r2,benchmark
XAU_USD,-0.00129,-0.00864,0.0,USDMXN
BACHOCOB,-0.02514,-0.06708,0.00063,USDMXN
MU,-0.02641,-0.50695,0.0007,USDMXN
USD_XAU,-0.05012,-1610.79614,0.00251,USDMXN
IYY,-0.05222,-0.32976,0.00273,USDMXN
URTH,-0.05736,-0.33757,0.00329,USDMXN
TerraClassicUSD,-0.06474,-0.63087,0.00419,USDMXN
AUTLANB,-0.08035,-0.20296,0.00646,USDMXN
GPAGF,-0.10611,-0.99385,0.01126,USDMXN
BRENT,-0.11494,-0.34724,0.01321,USDMXN
BIMBOA,-0.12707,-0.35204,0.01615,USDMXN
CHDRAUIB,-0.1334,-0.30424,0.01779,USDMXN
ALPEKA,-0.13457,-0.42677,0.01811,USDMXN
NEMAKA,-0.16431,-0.54558,0.027,USDMXN
KIMBERA,-0.17609,-0.40218,0.03101,USDMXN
GMEXICOB,-0.18051,-0.60489,0.03258,USDMXN
PEOLES,-0.18448,-0.7584,0.03403,USDMXN
LIVEPOLC1,-0.18711,-0.38813,0.03501,USDMXN
ASURB,-0.18814,-0.50722,0.03539,USDMXN
MARA,-0.19498,-2.00818,0.03802,USDMXN
OMAB,-0.19709,-0.5841,0.03884,USDMXN
GAP,-0.1993,-0.99148,0.03972,USDMXN
NFLX,-0.2008,-0.77732,0.04032,USDMXN
CEMEXCPO,-0.20564,-0.66785,0.04229,USDMXN
PINFRA,-0.2075,-0.48133,0.04306,USDMXN
MSCI_EM,-0.21054,-0.2978,0.04433,USDMXN
IAU,-0.21352,-0.29492,0.04559,USDMXN
GCARSOA1,-0.22012,-0.69677,0.04845,USDMXN
BBAJIOO,-0.24106,-0.6833,0.05811,USDMXN
BBVA,-0.24998,-0.69969,0.06249,USDMXN
NVDA,-0.25195,-1.17818,0.06348,USDMXN
BRKb,-0.26188,-0.40359,0.06858,USDMXN
XLV,-0.26395,-0.34071,0.06967,USDMXN
GFINBURO,-0.26585,-0.73968,0.07068,USDMXN
USB,-0.28299,-0.76197,0.08008,USDMXN
BAC,-0.30485,-0.7395,0.09293,USDMXN
GFNORTEO,-0.30626,-0.88878,0.0938,USDMXN
QCOM,-0.31061,-1.06142,0.09648,USDMXN
MXX,-0.32292,-0.44173,0.10427,USDMXN
SOX,-0.34762,-1.1231,0.12084,USDMXN
SOXL,-0.35038,-3.31893,0.12277,USDMXN
IVW,-0.36264,-0.68821,0.13151,USDMXN
NASDAQ,-0.36685,-0.75264,0.13458,USDMXN
QUAL,-0.38397,-0.59885,0.14743,USDMXN
DJI,-0.38743,-0.50999,0.15011,USDMXN
SPX,-0.40726,-0.6187,0.16586,USDMXN
IWD,-0.42179,-0.56736,0.17791,USDMXN
MSCI_W,-0.44778,-0.57991,0.2005,USDMXN
USDEUR,1.0,1.0,1.0,USDEUR
DXY,0.93455,0.86321,0.87339,USDEUR
inflationusa,0.41934,0.29055,0.17584,USDEUR
USDMXN,0.36074,0.52988,0.13014,USDEUR
inflationmex,0.23403,0.13418,0.05477,USDEUR
USDMXNm,0.21917,0.9587,0.04803,USDEUR
VIX,0.12928,2.19395,0.01671,USDEUR
UVIX,0.09371,1.62248,0.00878,USDEUR
BACHOCOB,-0.00964,-0.03548,9e-05,USDEUR
MU,-0.01327,-0.38093,0.00018,USDEUR
BRENT,-0.02141,-0.09507,0.00046,USDEUR
USD_XAU,-0.03353,-1742.5736,0.00112,USDEUR
TerraClassicUSD,-0.03534,-0.49938,0.00125,USDEUR
IYY,-0.04251,-0.39602,0.00181,USDEUR
NEMAKA,-0.0585,-0.28495,0.00342,USDEUR
URTH,-0.0622,-0.54036,0.00387,USDEUR
BIMBOA,-0.06621,-0.26989,0.00438,USDEUR
AUTLANB,-0.07145,-0.26482,0.0051,USDEUR
GPAGF,-0.07292,-1.17356,0.00532,USDEUR
GAP,-0.07528,-0.55111,0.00567,USDEUR
XAU_USD,-0.07723,-0.78088,0.00597,USDEUR
CHDRAUIB,-0.07907,-0.26486,0.00625,USDEUR
KOFUBL,-0.09646,-0.2902,0.0093,USDEUR
ASURB,-0.10198,-0.40414,0.0104,USDEUR
LIVEPOLC1,-0.10234,-0.31179,0.01047,USDEUR
BBAJIOO,-0.10363,-0.43162,0.01074,USDEUR
