YearMonth,Tasa_x,Tasa_y,Var_x,Var_y,Dif
2021-01,0.08499999999999999,4.25,-0.007870370370370364,0.0,4.165
2021-02,0.07571428571428572,4.098214285714286,0.001275510204081636,-0.002100840336134454,4.0225
2021-03,0.06967741935483872,4.0,-0.004608294930875581,0.0,3.930322580645161
2021-04,0.069,4.0,-0.004761904761904763,0.0,3.931
2021-05,0.058,4.0,0.001111111111111111,0.0,3.942
2021-06,0.078,4.05,0.02222222222222222,0.0020833333333333333,3.972
2021-07,0.09806451612903226,4.25,-0.0016129032258064494,0.0,4.151935483870968
2021-08,0.09225806451612903,4.403225806451613,-0.0010496671786994365,0.00189753320683112,4.310967741935484
2021-09,0.07933333333333333,4.5,0.0027777777777777827,0.0,4.4206666666666665
2021-10,0.07903225806451614,4.75,0.0067204301075268905,0.0017921146953405027,4.670967741935484
2021-11,0.07966666666666668,4.908333333333333,0.0005952380952380968,0.0017543859649122788,4.828666666666667
2021-12,0.07967741935483871,5.241935483870968,0.0005760368663594485,0.0032258064516129063,5.162258064516129
2022-01,0.07935483870967742,5.5,0.004608294930875574,0.0,5.420645161290323
2022-02,0.08,5.821428571428571,0.0,0.003246753246753244,5.741428571428571
2022-03,0.2009677419354839,6.112903225806452,0.10080645161290322,0.0026881720430107503,5.911935483870968
2022-04,0.33,6.5,0.0,0.0,6.17
2022-05,0.765483870967742,6.806451612903226,0.048875855327468215,0.00248138957816377,6.040967741935484
2022-06,1.2049999999999998,7.175,0.030120481927710847,0.0035714285714285735,5.97
2022-07,1.6758064516129034,7.75,0.015173925768072104,0.0,6.074193548387097
2022-08,2.33,8.233870967741936,0.00013904338153504189,0.003121748178980226,5.903870967741936
2022-09,2.536896551724138,8.525862068965518,0.011099600414385085,0.0030425963488843783,5.98896551724138
2022-10,3.08,9.25,0.0,0.0,6.17
2022-11,3.7800000000000002,9.75,0.008116883116883114,0.0027027027027027046,5.97
2022-12,4.104193548387097,10.258064516129032,0.00421123557651815,0.0016129032258064531,6.153870967741935
2023-01,4.33,10.5,0.0,0.0,6.17
2023-02,4.57,10.839285714285714,0.001984217576237076,0.0017006802721088454,6.269285714285713
2023-03,4.6490322580645165,11.008064516129032,0.0018315520754764688,0.0007331378299120228,6.3590322580645156
2023-04,4.83,11.25,0.0,0.0,6.42
2023-05,5.055806451612903,11.25,0.0016696720764041914,0.0,6.194193548387097
2023-06,5.076333333333333,11.25,2.5884338422284733e-07,0.0,6.173666666666667
2023-07,5.12,11.25,0.0015876284218051648,0.0,6.13
2023-08,5.33,11.25,0.0,0.0,5.92
2023-09,5.33,11.25,0.0,0.0,5.92
2023-10,5.33,11.25,0.0,0.0,5.92
2023-11,5.33,11.25,0.0,0.0,5.92
2023-12,5.33,11.25,0.0,0.0,5.92
2024-01,5.33,11.25,0.0,0.0,5.92
2024-02,5.33,11.25,0.0,0.0,5.92
2024-03,5.33,11.169354838709678,0.0,-0.0007168458781362018,5.839354838709678
2024-04,5.33,11.0,0.0,0.0,5.67
2024-05,5.33,11.0,0.0,0.0,5.67
2024-06,5.33,11.0,0.0,0.0,5.67
2024-07,5.33,11.0,0.0,0.0,5.67
2024-08,5.33,10.816666666666666,0.0,-0.0007575757575757569,5.486666666666666
2024-09,5.13,10.716666666666667,-0.003126954346466541,-0.0007751937984496138,5.586666666666667
2024-10,4.83,10.5,0.0,0.0,5.67
2024-11,4.6403448275862065,10.362068965517242,-0.001784821874776898,-0.0008210180623973737,5.7217241379310355
2024-12,4.47516129032258,10.153225806451612,-0.0017608113818847711,-0.0007867820613690014,5.678064516129032
2025-01,4.33,10.0,0.0,0.0,5.67
2025-02,4.33,9.607142857142858,0.0,-0.0017857142857142874,5.277142857142858
2025-03,4.33,9.435483870967742,0.0,-0.0016977928692699508,5.105483870967742
2025-04,4.33,9.0,0.0,0.0,4.67
2025-05,4.33,8.741935483870968,0.0,-0.0017921146953405027,4.411935483870968
2025-06,4.33,8.433333333333334,0.0,-0.0019607843137254906,4.1033333333333335
2025-07,4.33,8.0,0.0,0.0,3.67
2025-08,4.33,7.806451612903226,0.0,-0.0010080645161290322,3.476451612903226
2025-09,4.224666666666667,7.708333333333333,-0.0018428580054038542,-0.0010752688172043002,3.4836666666666662
2025-10,4.088064516129032,7.5,-0.0018047254448069349,0.0,3.411935483870968
2025-11,3.8763333333333336,7.3,0.0002583990830307877,-0.001111111111111111,3.423666666666666
2025-12,3.7788888888888885,7.236111111111111,-0.003570408454727219,-0.0019157088122605341,3.457222222222222
