Fecha,Close
02/01/18,2106419.47
03/01/18,2109933.89
04/01/18,2115842.54
05/01/18,2117032.78
08/01/18,2117257.3
09/01/18,2113427.88
10/01/18,2126731.35
11/01/18,2121665.96
12/01/18,2118608.77
15/01/18,2118193.11
16/01/18,2116638.91
17/01/18,2117341.26
18/01/18,2110775.15
19/01/18,2103455.58
22/01/18,2105327.61
23/01/18,2107118.6
24/01/18,2112073.16
25/01/18,2117042.19
26/01/18,2118285.96
29/01/18,2111193.07
30/01/18,2113745.65
31/01/18,2110906.01
01/02/18,2101700.25
02/02/18,2104362.26
06/02/18,2113487.15
07/02/18,2110227.71
08/02/18,2109749.14
09/02/18,2104816.37
12/02/18,2100681.91
13/02/18,2097876.81
14/02/18,2093509.78
15/02/18,2091147.41
16/02/18,2091903.35
19/02/18,2097021.14
20/02/18,2068070.91
21/02/18,2067273.7
22/02/18,2068517.91
23/02/18,2071241.47
26/02/18,2072908.81
27/02/18,2058390.51
28/02/18,2057546.9
01/03/18,2035370.18
02/03/18,2043230.76
05/03/18,2047034.59
06/03/18,2063885.74
07/03/18,2063522.81
08/03/18,2065587.07
09/03/18,2066575.64
12/03/18,2065852.33
13/03/18,2062122.98
14/03/18,2061607.3
15/03/18,2053015.29
16/03/18,2051618.61
20/03/18,2054056.58
21/03/18,2063318.08
22/03/18,2070098.97
23/03/18,2075594.59
26/03/18,2074854.47
27/03/18,2093609.95
28/03/18,2086772.18
02/04/18,2087878.88
03/04/18,2092169.8
04/04/18,2095822.69
05/04/18,2110076.87
06/04/18,2115396.58
09/04/18,2113869.2
10/04/18,2106935.36
11/04/18,2108857.98
12/04/18,2099087.27
13/04/18,2098547.92
16/04/18,2114276
17/04/18,2110028.64
18/04/18,2110480.93
19/04/18,2116468.33
20/04/18,2119458.84
23/04/18,2125226.41
24/04/18,2124580.61
25/04/18,2125030.02
26/04/18,2110613.64
27/04/18,2103155.2
30/04/18,2106477.43
02/05/18,2106566.44
03/05/18,2106329.68
04/05/18,2108757.12
07/05/18,2128205.77
08/05/18,2128979.25
09/05/18,2123996.3
10/05/18,2115035.1
11/05/18,2119761.85
14/05/18,2122065.55
15/05/18,2124126.28
16/05/18,2127730.73
17/05/18,2124298.37
18/05/18,2131086.19
21/05/18,2132440.72
22/05/18,2123294.87
23/05/18,2123081.96
24/05/18,2112879.16
25/05/18,2113949.75
28/05/18,2113524.24
29/05/18,2109572.78
30/05/18,2109697.9
31/05/18,2121789.49
01/06/18,2126576.72
04/06/18,2129619.73
05/06/18,2123744.45
06/06/18,2129185.69
07/06/18,2123564.08
08/06/18,2122777.99
11/06/18,2123360.25
12/06/18,2120973.42
13/06/18,2123034.82
14/06/18,2075577.57
15/06/18,2095562.85
18/06/18,2099577.22
19/06/18,2103062.15
20/06/18,2106577.23
21/06/18,2102005.34
22/06/18,2110855.79
25/06/18,2114559.2
26/06/18,2111220.99
27/06/18,2112864.43
28/06/18,2117030.62
29/06/18,2116638.82
02/07/18,2123559.11
03/07/18,2124536.25
04/07/18,2126217.11
05/07/18,2110889.64
06/07/18,2113004.78
09/07/18,2116029.44
10/07/18,2123326.15
11/07/18,2126582.01
12/07/18,2130224.7
13/07/18,2135051.95
16/07/18,2144273.42
17/07/18,2147707.35
18/07/18,2148349.87
19/07/18,2152419.95
20/07/18,2161742.72
23/07/18,2163357.23
24/07/18,2167368.99
25/07/18,2166036.88
26/07/18,2167537.92
27/07/18,2158075.45
30/07/18,2155702.74
31/07/18,2154561.76
01/08/18,2153102.51
02/08/18,2147459.51
03/08/18,2141393.52
06/08/18,2143309.88
07/08/18,2143738.86
08/08/18,2148428.29
09/08/18,2149144.02
10/08/18,2149264.23
13/08/18,2153717.14
14/08/18,2144301.73
15/08/18,2142374.99
16/08/18,2113948.43
17/08/18,2105436.43
20/08/18,2100069.97
21/08/18,2099322.61
22/08/18,2102675.2
23/08/18,2113958.95
24/08/18,2125318.95
27/08/18,2123788.93
28/08/18,2124346.33
29/08/18,2124496.36
30/08/18,2114335.37
31/08/18,2117828.75
03/09/18,2117418.97
04/09/18,2117253.32
05/09/18,2115205.91
06/09/18,2112185.64
07/09/18,2127557.9
10/09/18,2124562.17
11/09/18,2125111.86
12/09/18,2129753.7
13/09/18,2120564.37
14/09/18,2123306.28
17/09/18,2123991.69
18/09/18,2127889.69
19/09/18,2131171.88
20/09/18,2137486.24
21/09/18,2136374.33
24/09/18,2135865.8
25/09/18,2151574.92
26/09/18,2153508.17
27/09/18,2131308.45
28/09/18,2148848.6
01/10/18,2153959.64
02/10/18,2148745.6
03/10/18,2155137.22
04/10/18,2152739.52
05/10/18,2150231.69
08/10/18,2149751.92
09/10/18,2152873.72
10/10/18,2160862.67
11/10/18,2134678.94
12/10/18,2129373.56
15/10/18,2130631.01
16/10/18,2147373.28
17/10/18,2144323.52
18/10/18,2141676.62
19/10/18,2142807.97
22/10/18,2143005.79
23/10/18,2143775.82
24/10/18,2135864.36
25/10/18,2103433.31
26/10/18,2102763.36
29/10/18,2104789.74
30/10/18,2099205.46
31/10/18,2103560.67
01/11/18,2128324.67
05/11/18,2124892.37
06/11/18,2127001.15
07/11/18,2129673.39
08/11/18,2128161.29
09/11/18,2125300.84
12/11/18,2128864.89
13/11/18,2115401.46
14/11/18,2114277.75
15/11/18,2095945.66
16/11/18,2106007.89
20/11/18,2112670.24
21/11/18,2117698.92
22/11/18,2112024.56
23/11/18,2128156.86
26/11/18,2127688.25
27/11/18,2125165.87
28/11/18,2125994.07
29/11/18,2133275.25
30/11/18,2138791.94
03/12/18,2137705.83
04/12/18,2135159.34
05/12/18,2139626.35
06/12/18,2106360.72
07/12/18,2107420.11
10/12/18,2109674.96
11/12/18,2115115.61
13/12/18,2091953.78
14/12/18,2105147.02
17/12/18,2115555.58
18/12/18,2122005.72
19/12/18,2137847.01
20/12/18,2122851.96
21/12/18,2124562.42
24/12/18,2131189.14
26/12/18,2136934.43
27/12/18,2132341.8
28/12/18,2129879.66
31/12/18,2129768.16
02/01/19,2128151.92
03/01/19,2136453.01
04/01/19,2154515.17
07/01/19,2144187.19
08/01/19,2152741.86
09/01/19,2145355.41
10/01/19,2151628.85
11/01/19,2173646.22
14/01/19,2177386.92
15/01/19,2194470.43
16/01/19,2195046.18
17/01/19,2189283.97
18/01/19,2191987.76
21/01/19,2194900.17
22/01/19,2194255.68
23/01/19,2190470.67
24/01/19,2191686.49
25/01/19,2202710.65
28/01/19,2203779.69
29/01/19,2210381.22
30/01/19,2209702.97
31/01/19,2220058.93
01/02/19,2238908.58
05/02/19,2255195.43
06/02/19,2261408.21
07/02/19,2267886.56
08/02/19,2273928.16
11/02/19,2268383.31
12/02/19,2268178.79
13/02/19,2264714.16
14/02/19,2245458.71
15/02/19,2243763.16
18/02/19,2245236.44
19/02/19,2236354.54
20/02/19,2233281.53
21/02/19,2228966.39
22/02/19,2229899.1
25/02/19,2220033.24
26/02/19,2232243.79
27/02/19,2234055.37
28/02/19,2214625.03
01/03/19,2221872.35
04/03/19,2229305.6
05/03/19,2238770.84
06/03/19,2238734.33
