Fecha,Close
02/01/18,1784043.66
03/01/18,1786211.42
04/01/18,1791746.08
05/01/18,1792053.56
08/01/18,1796779.39
09/01/18,1791768.12
10/01/18,1804080.29
11/01/18,1795385.54
12/01/18,1791833.35
15/01/18,1792203.19
16/01/18,1784714.77
17/01/18,1783370.54
18/01/18,1781594.91
19/01/18,1773814.96
22/01/18,1775805.44
23/01/18,1777388.41
24/01/18,1779566.7
25/01/18,1784747.6
26/01/18,1787611.5
29/01/18,1781771.15
30/01/18,1784358.65
31/01/18,1780352.67
01/02/18,1778465.32
02/02/18,1781169.3
06/02/18,1789292.05
07/02/18,1786043.08
08/02/18,1785514.68
09/02/18,1780180.65
12/02/18,1776508.98
13/02/18,1772963.95
14/02/18,1768981.57
15/02/18,1768491.7
16/02/18,1769010.23
19/02/18,1774492.7
20/02/18,1770933.67
21/02/18,1769644.47
22/02/18,1771732.01
23/02/18,1773213.84
26/02/18,1774299.85
27/02/18,1772159.17
28/02/18,1769694.98
01/03/18,1768720.86
02/03/18,1770534.49
05/03/18,1773190.35
06/03/18,1777470.37
07/03/18,1776113.93
08/03/18,1776237.8
09/03/18,1777288.42
12/03/18,1775445.65
13/03/18,1773994.2
14/03/18,1771192.87
15/03/18,1766421.21
16/03/18,1764847.74
20/03/18,1763314.64
21/03/18,1770300.91
22/03/18,1773160.41
23/03/18,1773894.26
26/03/18,1775777.07
27/03/18,1795817.24
28/03/18,1801617.54
02/04/18,1802246.26
03/04/18,1807323.2
04/04/18,1809533.53
05/04/18,1819196.39
06/04/18,1825463.91
09/04/18,1823186.77
10/04/18,1815566.15
11/04/18,1817503.54
12/04/18,1818247.15
13/04/18,1817618.45
16/04/18,1819568.72
17/04/18,1819315.51
18/04/18,1821141.84
19/04/18,1824525.62
20/04/18,1827561.94
23/04/18,1833068.3
24/04/18,1828268.52
25/04/18,1828901.99
26/04/18,1834424.43
27/04/18,1828606.02
30/04/18,1831579.48
02/05/18,1831870.58
03/05/18,1834634.65
04/05/18,1832598.84
07/05/18,1836699.32
08/05/18,1835663.7
09/05/18,1832631.54
10/05/18,1829674.13
11/05/18,1832894.34
14/05/18,1835752.74
15/05/18,1837912.88
16/05/18,1840901.8
17/05/18,1841631.42
18/05/18,1838460.24
21/05/18,1838808.34
22/05/18,1830276.03
23/05/18,1830147.19
24/05/18,1833182.93
25/05/18,1834653.67
28/05/18,1834607.04
29/05/18,1832220.24
30/05/18,1832181.86
31/05/18,1832964.84
01/06/18,1839031.37
04/06/18,1842279.78
05/06/18,1836330.52
06/06/18,1841144.19
07/06/18,1832474.99
08/06/18,1819037.52
11/06/18,1812800.72
12/06/18,1810426.73
13/06/18,1811625.86
14/06/18,1767016.33
15/06/18,1768451.46
18/06/18,1771869.67
19/06/18,1775185.48
20/06/18,1776149.29
21/06/18,1776753.21
22/06/18,1786298.49
25/06/18,1788958.83
26/06/18,1785320.79
27/06/18,1787166.06
28/06/18,1790335.07
29/06/18,1790197.21
02/07/18,1796864.19
03/07/18,1798124.11
04/07/18,1799214.08
05/07/18,1797646.9
06/07/18,1800503.78
09/07/18,1803392.32
10/07/18,1807738.14
11/07/18,1810306.32
12/07/18,1811108.66
13/07/18,1812495.69
16/07/18,1797100.14
17/07/18,1800454.62
18/07/18,1800710.16
19/07/18,1804194.13
20/07/18,1815033.36
23/07/18,1812091.38
24/07/18,1815696.45
25/07/18,1814091.01
26/07/18,1815337.1
27/07/18,1820848.1
30/07/18,1818397.37
31/07/18,1816391.02
01/08/18,1814088.41
02/08/18,1810852.33
03/08/18,1805490.6
06/08/18,1806350.58
07/08/18,1806059.16
08/08/18,1810271.07
09/08/18,1813677.35
10/08/18,1812962.67
13/08/18,1817039.38
14/08/18,1807905.16
15/08/18,1801820.9
16/08/18,1794160.79
17/08/18,1784776.63
20/08/18,1779179.28
21/08/18,1777769.19
22/08/18,1780418.68
23/08/18,1784993.66
24/08/18,1786021.59
27/08/18,1785641.73
28/08/18,1786422.01
29/08/18,1786671.66
30/08/18,1786329.01
31/08/18,1787389.15
03/09/18,1786006.44
04/09/18,1785641.96
05/09/18,1783616.58
06/09/18,1778960.85
07/09/18,1779487.18
10/09/18,1776063.41
11/09/18,1776149.62
12/09/18,1777168.82
13/09/18,1777340.56
14/09/18,1780092.71
17/09/18,1782453.95
18/09/18,1785948.29
19/09/18,1788803.48
20/09/18,1789515.12
21/09/18,1786318.49
24/09/18,1785280.66
25/09/18,1785352.16
26/09/18,1786713.49
27/09/18,1786361.62
28/09/18,1788035.72
01/10/18,1795735.01
02/10/18,1794461.93
03/10/18,1800022.87
04/10/18,1800000.89
05/10/18,1797331.52
08/10/18,1795778.03
09/10/18,1794141.19
10/10/18,1798096.66
11/10/18,1801511.39
12/10/18,1797009.6
15/10/18,1798414.12
16/10/18,1801978.62
17/10/18,1798706.02
18/10/18,1795055.27
19/10/18,1796287.79
22/10/18,1795686.2
23/10/18,1796087.21
24/10/18,1787379.32
25/10/18,1772458.78
26/10/18,1773038.66
29/10/18,1772398.16
30/10/18,1767017.15
31/10/18,1770897.31
01/11/18,1782683.33
05/11/18,1778993.68
06/11/18,1780624.66
07/11/18,1784429.3
08/11/18,1788235.6
09/11/18,1785892.27
12/11/18,1789485.34
13/11/18,1776636.22
14/11/18,1775184.3
15/11/18,1761959.2
16/11/18,1771150.23
20/11/18,1774364.74
21/11/18,1775699.53
22/11/18,1776671.68
23/11/18,1783405.21
26/11/18,1782840.06
27/11/18,1780384.07
28/11/18,1781372.83
29/11/18,1789720.08
30/11/18,1788118.83
03/12/18,1788725.1
04/12/18,1785896.96
05/12/18,1788970.13
06/12/18,1783915.72
07/12/18,1783429.97
10/12/18,1787084.51
11/12/18,1792769.37
13/12/18,1775013.17
14/12/18,1775077.16
17/12/18,1780831.62
18/12/18,1784020.03
19/12/18,1799648.1
20/12/18,1801950.75
21/12/18,1802258.63
24/12/18,1805903.4
26/12/18,1811232.67
27/12/18,1808006.6
28/12/18,1803797.96
31/12/18,1803631.01
02/01/19,1802303.16
03/01/19,1806845.15
04/01/19,1810310.38
07/01/19,1802661.35
08/01/19,1809393.7
09/01/19,1802203.94
10/01/19,1815491.71
11/01/19,1814196.7
14/01/19,1807566.41
15/01/19,1812729.46
16/01/19,1820968.07
17/01/19,1827367.14
18/01/19,1828009.87
21/01/19,1828722.77
22/01/19,1832008.93
23/01/19,1831815.8
24/01/19,1832838.07
25/01/19,1834675.3
28/01/19,1836485.98
29/01/19,1843030.87
30/01/19,1838434.15
31/01/19,1853414.25
01/02/19,1858049.07
05/02/19,1865150.92
06/02/19,1870479.75
07/02/19,1871316.49
08/02/19,1872877.3
11/02/19,1873850.92
12/02/19,1873182.92
13/02/19,1869292.62
14/02/19,1869069.67
15/02/19,1867748.77
18/02/19,1869187.21
19/02/19,1850713.99
20/02/19,1847695.53
21/02/19,1840469.88
22/02/19,1837253.88
25/02/19,1836743.5
26/02/19,1845661.33
27/02/19,1848580.87
28/02/19,1844281.56
01/03/19,1850682.35
04/03/19,1853109.64
05/03/19,1860094.91
06/03/19,1865417.61
07/03/19,1873934.87
08/03/19,1876083.84
11/03/19,1873138.52
12/03/19,1875807.91
13/03/19,1873845.88
14/03/19,1870491.36
15/03/19,1867145.54
19/03/19,1870851.7
20/03/19,1870077.78
21/03/19,1869829.61
22/03/19,1870715.64
25/03/19,1866598.54
26/03/19,1864519.72
27/03/19,1866206.87
28/03/19,1872201.06
29/03/19,1871772.86
01/04/19,1866544.46
02/04/19,1866401.43
03/04/19,1856069.28
04/04/19,1854010.06
05/04/19,1857805.6
08/04/19,1856488.83
09/04/19,1857907.61
10/04/19,1858777.29
11/04/19,1859985.42
12/04/19,1863083.39
15/04/19,1864116.75
16/04/19,1855169.05
17/04/19,1853694.05
22/04/19,1853307.77
23/04/19,1850782.66
24/04/19,1851132.54
25/04/19,1845178.1
26/04/19,1840606.84
29/04/19,1842559.64
30/04/19,1844577.08
02/05/19,1844297.84
03/05/19,1842558.61
06/05/19,1848440.66
07/05/19,1842757.61
08/05/19,1850423.57
09/05/19,1852938.33
10/05/19,1855303.69
13/05/19,1861054.28
14/05/19,1857842.25
15/05/19,1853844.81
16/05/19,1853826.79
17/05/19,1855347.04
20/05/19,1857378.01
21/05/19,1865370.65
22/05/19,1858595.35
23/05/19,1858977.15
24/05/19,1864294.61
27/05/19,1864591.46
28/05/19,1860160.38
29/05/19,1863064.85
30/05/19,1865551.02
31/05/19,1877355.99
03/06/19,1857387.51
04/06/19,1854399.89
05/06/19,1853594.84
06/06/19,1847219.98
07/06/19,1843650.9
10/06/19,1843425.93
11/06/19,1850136.1
12/06/19,1855315.45
13/06/19,1865956.61
14/06/19,1876952.21
17/06/19,1879004.33
18/06/19,1880783.1
19/06/19,1880162.94
20/06/19,1886978.43
21/06/19,1887711.35
24/06/19,1877269.07
25/06/19,1860604.66
26/06/19,1863551.44
27/06/19,1856586.83
28/06/19,1858137.02
01/07/19,1862096.42
02/07/19,1865316.32
03/07/19,1866461.18
04/07/19,1866802.82
05/07/19,1858576.59
08/07/19,1857529.81
09/07/19,1853790.51
10/07/19,1860151.22
11/07/19,1860106.23
12/07/19,1851000.69
15/07/19,1854736.48
16/07/19,1851174.44
17/07/19,1854454.65
18/07/19,1854650.75
19/07/19,1863878.08
22/07/19,1859597.75
23/07/19,1863503.83
24/07/19,1864318.56
25/07/19,1865830.4
26/07/19,1872561.21
29/07/19,1870019.82
30/07/19,1870276.82
31/07/19,1872066.77
01/08/19,1872100.28
02/08/19,1867869.18
05/08/19,1864380.85
06/08/19,1867358.81
07/08/19,1864548.38
08/08/19,1861700.11
09/08/19,1865962.42
12/08/19,1870417.75
13/08/19,1871695.91
14/08/19,1866239.16
15/08/19,1863743.66
16/08/19,1864419.21
19/08/19,1868823.15
20/08/19,1860948.5
21/08/19,1874614.44
22/08/19,1870990.48
23/08/19,1872855.6
26/08/19,1875553.27
27/08/19,1870783.92
28/08/19,1871411.33
29/08/19,1869115.68
30/08/19,1860092.99
02/09/19,1865951.4
03/09/19,1847829.58
04/09/19,1854510.89
05/09/19,1844258.79
06/09/19,1855727.75
09/09/19,1861710.09
10/09/19,1853680.35
11/09/19,1847870.49
12/09/19,1857222.43
13/09/19,1856859.38
17/09/19,1855886.13
18/09/19,1849064.15
19/09/19,1863217.86
20/09/19,1866855.69
23/09/19,1868764.24
24/09/19,1869426.69
25/09/19,1868924.65
26/09/19,1860521.33
27/09/19,1864986.39
30/09/19,1869057.93
01/10/19,1851214.89
02/10/19,1842826.6
03/10/19,1839621.69
04/10/19,1849909.34
07/10/19,1840446.68
08/10/19,1853895.18
09/10/19,1849303.96
10/10/19,1851546.11
11/10/19,1846015.67
14/10/19,1851228.72
15/10/19,1849163.04
16/10/19,1851154.89
17/10/19,1848182.89
18/10/19,1847700.25
21/10/19,1837604.39
22/10/19,1839100.02
23/10/19,1838722.38
24/10/19,1838379.13
25/10/19,1846302.11
28/10/19,1843934.64
29/10/19,1851851.83
30/10/19,1842524.89
31/10/19,1845045.73
01/11/19,1847554.42
04/11/19,1850131.51
05/11/19,1849755.56
06/11/19,1852020.5
07/11/19,1849279.91
08/11/19,1842107.03
11/11/19,1840801.97
12/11/19,1850129.1
13/11/19,1847492.13
14/11/19,1849174.26
15/11/19,1833039.55
19/11/19,1831585.7
20/11/19,1833014.03
21/11/19,1827932.24
22/11/19,1826348.97
25/11/19,1823688.74
26/11/19,1827493.72
27/11/19,1825744.44
28/11/19,1827027.16
29/11/19,1827141.9
02/12/19,1827443.55
03/12/19,1833511.84
