Fecha,real_5_linear,real_5_spline,real_5_ns,real_5_sv,Close,EXP_INF_spline,EXP_INF_ns,EXP_INF_sv
02/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.581428571,4.581428571,4.391613864,4.410819251
03/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.531428571,4.531428571,4.341613864,4.360819251
04/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.491428571,4.491428571,4.301613864,4.320819251
05/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.481428571,4.481428571,4.291613864,4.310819251
08/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.481428571,4.481428571,4.291613864,4.310819251
09/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.531428571,4.531428571,4.341613864,4.360819251
10/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.542428571,4.542428571,4.352613864,4.371819251
11/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.561428571,4.561428571,4.371613864,4.390819251
12/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.541428571,4.541428571,4.351613864,4.370819251
15/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.491428571,4.491428571,4.301613864,4.320819251
16/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.502428571,4.502428571,4.312613864,4.331819251
17/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.481428571,4.481428571,4.291613864,4.310819251
18/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.521428571,4.521428571,4.331613864,4.350819251
19/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.551428571,4.551428571,4.361613864,4.380819251
22/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.551428571,4.551428571,4.361613864,4.380819251
23/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.491428571,4.491428571,4.301613864,4.320819251
24/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.421428571,4.421428571,4.231613864,4.250819251
25/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.451428571,4.451428571,4.261613864,4.280819251
26/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.501428571,4.501428571,4.311613864,4.330819251
29/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.541428571,4.541428571,4.351613864,4.370819251
30/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.581428571,4.581428571,4.391613864,4.410819251
31/01/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.521428571,4.521428571,4.331613864,4.350819251
01/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.481428571,4.481428571,4.291613864,4.310819251
02/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.491428571,4.491428571,4.301613864,4.320819251
06/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.551428571,4.551428571,4.361613864,4.380819251
07/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.521428571,4.521428571,4.331613864,4.350819251
08/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.591428571,4.591428571,4.401613864,4.420819251
09/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.661428571,4.661428571,4.471613864,4.490819251
12/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.721428571,4.721428571,4.531613864,4.550819251
13/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.751428571,4.751428571,4.561613864,4.580819251
14/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.811428571,4.811428571,4.621613864,4.640819251
15/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.731428571,4.731428571,4.541613864,4.560819251
16/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.711428571,4.711428571,4.521613864,4.540819251
19/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.702428571,4.702428571,4.512613864,4.531819251
20/02/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.711428571,4.711428571,4.521613864,4.540819251
