Fecha,Tasa
04/01/18,N/E
11/01/18,N/E
18/01/18,N/E
25/01/18,3.62
01/02/18,N/E
08/02/18,N/E
15/02/18,N/E
22/02/18,3.78
01/03/18,N/E
08/03/18,N/E
15/03/18,N/E
22/03/18,3.77
28/03/18,N/E
05/04/18,N/E
12/04/18,N/E
19/04/18,3.72
26/04/18,N/E
03/05/18,N/E
10/05/18,N/E
17/05/18,3.75
24/05/18,N/E
31/05/18,N/E
07/06/18,N/E
14/06/18,3.75
21/06/18,N/E
28/06/18,N/E
05/07/18,N/E
12/07/18,3.51
19/07/18,N/E
26/07/18,N/E
02/08/18,N/E
09/08/18,3.55
16/08/18,N/E
23/08/18,N/E
30/08/18,N/E
06/09/18,3.72
13/09/18,N/E
20/09/18,N/E
27/09/18,N/E
04/10/18,3.72
11/10/18,N/E
18/10/18,N/E
25/10/18,N/E
01/11/18,4.15
08/11/18,N/E
15/11/18,N/E
22/11/18,N/E
29/11/18,4.39
06/12/18,N/E
13/12/18,N/E
20/12/18,N/E
27/12/18,4.14
03/01/19,N/E
10/01/19,N/E
17/01/19,N/E
24/01/19,4.29
31/01/19,N/E
07/02/19,N/E
14/02/19,N/E
21/02/19,4.11
28/02/19,N/E
07/03/19,N/E
14/03/19,N/E
21/03/19,4
28/03/19,N/E
04/04/19,N/E
11/04/19,N/E
17/04/19,3.79
25/04/19,N/E
02/05/19,N/E
09/05/19,N/E
16/05/19,3.84
23/05/19,N/E
30/05/19,N/E
06/06/19,N/E
13/06/19,3.5
20/06/19,N/E
27/06/19,N/E
04/07/19,N/E
11/07/19,3.41
18/07/19,N/E
25/07/19,N/E
01/08/19,N/E
08/08/19,3.46
15/08/19,N/E
22/08/19,N/E
29/08/19,N/E
05/09/19,3.21
12/09/19,N/E
19/09/19,N/E
26/09/19,N/E
03/10/19,3.2
10/10/19,N/E
17/10/19,N/E
24/10/19,N/E
31/10/19,3.25
07/11/19,N/E
14/11/19,N/E
21/11/19,N/E
28/11/19,3.38
05/12/19,N/E
11/12/19,N/E
19/12/19,N/E
26/12/19,3.4
02/01/20,N/E
09/01/20,N/E
16/01/20,N/E
23/01/20,3.26
30/01/20,N/E
06/02/20,N/E
13/02/20,N/E
20/02/20,3.08
27/02/20,N/E
05/03/20,N/E
12/03/20,N/E
19/03/20,N/E
26/03/20,N/E
02/04/20,N/E
08/04/20,N/E
16/04/20,3.5
23/04/20,N/E
30/04/20,N/E
07/05/20,N/E
14/05/20,2.75
21/05/20,N/E
28/05/20,N/E
04/06/20,N/E
11/06/20,2.43
18/06/20,N/E
25/06/20,N/E
02/07/20,N/E
09/07/20,2.23
16/07/20,N/E
23/07/20,N/E
30/07/20,N/E
06/08/20,2.24
13/08/20,N/E
20/08/20,N/E
27/08/20,N/E
03/09/20,2.01
10/09/20,N/E
17/09/20,N/E
24/09/20,N/E
01/10/20,2.12
08/10/20,N/E
15/10/20,N/E
22/10/20,N/E
29/10/20,2.15
05/11/20,N/E
12/11/20,N/E
19/11/20,N/E
26/11/20,2.25
03/12/20,N/E
24/12/20,1.93
28/01/21,1.61
18/02/21,1.82
18/03/21,2.6
15/04/21,2.85
13/05/21,2.9
10/06/21,2.68
08/07/21,2.84
05/08/21,2.72
02/09/21,2.8
30/09/21,2.93
28/10/21,2.92
25/11/21,3.19
23/12/21,3.12
20/01/22,3.3
17/02/22,3.47
17/03/22,3.76
13/04/22,3.8
12/05/22,4.32
09/06/22,4.05
07/07/22,4.12
04/08/22,3.93
01/09/22,4.17
29/09/22,4.67
03/11/22,4.69
01/12/22,4.52
29/12/22,4.17
19/01/23,4.12
16/02/23,4.27
16/03/23,4.49
13/04/23,4.42
11/05/23,4.5
08/06/23,4.45
06/07/23,4.5
03/08/23,4.52
31/08/23,4.79
28/09/23,5.22
19/10/23,5.28
16/11/23,4.98
14/12/23,4.69
11/01/24,4.64
08/02/24,4.78
07/03/24,4.74
04/04/24,4.87
25/04/24,5.44
23/05/24,5.3
20/06/24,5.74
04/07/24,5.37
25/07/24,5.23
15/08/24,4.97
05/09/24,5.25
24/10/24,5.41
14/11/24,5.48
11/12/24,5.78
02/01/25,5.5
23/01/25,5.4
20/02/25,5.27
13/03/25,4.94
03/04/25,4.89
30/04/25,5.11
29/05/25,5.07
26/06/25,4.95
17/07/25,5
07/08/25,4.94
04/09/25,4.89
02/10/25,4.59
06/11/25,4.59
04/12/25,4.44
24/12/25,4.69
15/01/26,4.36
12/02/26,4.07
05/03/26,4.41
09/04/26,4.9
30/04/26,4.61
