Fecha,Tasa
01/01/20,0.271740741
01/02/20,0.1
01/03/20,0.06
01/04/20,-0.748
01/05/20,0.188333333
01/06/20,0.215
01/07/20,0.423333333
01/08/20,0.065454545
01/09/20,-0.273157895
01/10/20,-0.1125
01/11/20,-0.560689655
01/12/20,-0.040434783
01/01/21,0.52
01/02/21,0.335
01/03/21,1.061071429
01/04/21,0.6
01/05/21,0.07826087
01/06/21,0.192
01/07/21,0.301
01/08/21,-0.111052632
01/09/21,0.134285714
01/10/21,0.291785714
01/11/21,0.640869565
01/12/21,-0.149565217
01/01/22,0.17
01/02/22,0.365
01/03/22,0.867666667
01/04/22,0.470769231
01/05/22,-0.254285714
01/06/22,0.285714286
01/07/22,0.28826087
01/08/22,0.1655
01/09/22,-0.072105263
01/10/22,-0.335416667
01/11/22,-0.097307692
01/12/22,-0.199166667
01/01/23,0.178613636
01/02/23,-0.02
01/03/23,0.1275
01/04/23,-0.01
01/05/23,-0.662
01/06/23,-0.404615385
01/07/23,0.08
01/08/23,0.075238095
01/09/23,-0.105
01/10/23,-0.35
01/11/23,0.12
01/12/23,0.18908
01/01/24,0.521
01/02/24,-0.2425
01/03/24,0.322142857
01/04/24,0.350347826
01/05/24,-0.391208333
01/06/24,0.01773913
01/07/24,0.772259259
01/08/24,-0.320869565
01/09/24,-0.395454545
01/10/24,-0.055695652
01/11/24,-0.03
01/12/24,-0.1416
01/01/25,-0.044782609
01/02/25,-0.121578947
01/03/25,0.243076923
01/04/25,0.425
01/05/25,0.043157895
01/06/25,-0.119615385
01/07/25,-0.004814815
01/08/25,-0.262545455
01/09/25,-0.2267
01/10/25,-0.17
01/11/25,0.182236
01/12/25,-0.25376875
01/01/26,-0.005
01/02/26,0.115
01/03/26,0.7343625
