Fecha,inpc_cierre,inf_real_pct,E_inf_robusta,UI_robusta,UI_robusta_zscore,UI_vs_media,UI_vs_mediana,incertidumbre_inflacion,confianza_survey,dist_sesgada,UI_significativa,n_obs
01/08/24,136.013,0.01,0.330869565,-0.320869565,-1.151017527,-0.320869565,-0.34,0.428571429,alta,0,0,23
01/09/24,136.08,0.05,0.445454545,-0.395454545,-1.370305627,-0.395454545,-0.395,0.342696629,alta,0,1,22
01/10/24,136.828,0.55,0.605695652,-0.055695652,-0.37137686,-0.055695652,-0.06,0.196721311,alta,0,0,23
01/11/24,137.424,0.44,0.47,-0.03,-0.295828798,-0.02004,-0.03,0.319148936,alta,1,0,25
01/12/24,137.949,0.38,0.5216,-0.1416,-0.623945155,-0.1416,-0.14,0.307692308,alta,0,0,25
01/01/25,138.343,0.29,0.334782609,-0.044782609,-0.339291305,-0.044782609,-0.05,0.323529412,alta,0,0,23
01/02/25,138.726,0.28,0.401578947,-0.121578947,-0.565081043,-0.121578947,-0.11,0.256410256,baja,0,0,19
01/03/25,139.161,0.31,0.066923077,0.243076923,0.507047593,0.243076923,0.255,2.636363636,alta,0,0,26
01/04/25,139.62,0.33,-0.095,0.425,1.041921584,0.395833333,0.425,1.868421053,alta,1,1,24
01/05/25,140.012,0.28,0.236842105,0.043157895,-0.080736486,0.043157895,0.04,0.541666667,baja,0,0,19
01/06/25,140.405,0.28,0.399615385,-0.119615385,-0.559307953,-0.119615385,-0.105,0.480519481,alta,0,0,26
01/07/25,140.78,0.27,0.274814815,-0.004814815,-0.221781565,-0.004814815,0,0.555555556,alta,0,0,27
01/08/25,140.867,0.06,0.322545455,-0.262545455,-0.979538185,-0.262545455,-0.265,0.323076923,alta,0,0,22
01/09/25,141.197,0.23,0.4567,-0.2267,-0.874148579,-0.219016667,-0.2267,0.256733085,alta,1,0,24
01/10/25,141.708,0.36,0.53,-0.17,-0.7074443,-0.164396,-0.17,0.301886792,alta,1,0,25
01/11/25,142.645,0.66,0.477764,0.182236,0.328168543,0.182236,0.2,0.282608696,alta,0,0,25
01/12/25,143.042,0.28,0.53376875,-0.25376875,-0.953733701,-0.25376875,-0.225,0.346534653,alta,0,0,32
01/01/26,143.588,0.38,0.385,-0.005,-0.22232603,-0.006140909,-0.005,0.31512987,alta,1,0,22
01/02/26,144.307,0.5,0.385,0.115,0.130487258,0.123483333,0.115,0.214285714,baja,1,0,18
01/03/26,145.544,0.86,0.1256375,0.7343625,1.951481589,0.7343625,0.76,2.05,alta,0,1,32
