Fecha,Tasa
04/01/18,7.71
11/01/18,N/E
18/01/18,N/E
25/01/18,N/E
01/02/18,N/E
08/02/18,N/E
15/02/18,7.9
22/02/18,N/E
01/03/18,N/E
08/03/18,N/E
15/03/18,N/E
22/03/18,N/E
28/03/18,7.72
05/04/18,N/E
12/04/18,N/E
19/04/18,N/E
26/04/18,N/E
03/05/18,N/E
10/05/18,7.89
17/05/18,N/E
24/05/18,N/E
31/05/18,N/E
07/06/18,N/E
14/06/18,N/E
21/06/18,7.94
28/06/18,N/E
05/07/18,N/E
12/07/18,N/E
19/07/18,N/E
26/07/18,N/E
02/08/18,7.87
09/08/18,N/E
16/08/18,N/E
23/08/18,N/E
30/08/18,N/E
06/09/18,N/E
13/09/18,8.15
20/09/18,N/E
27/09/18,N/E
04/10/18,N/E
11/10/18,N/E
18/10/18,N/E
25/10/18,8.5
01/11/18,N/E
08/11/18,N/E
15/11/18,N/E
22/11/18,N/E
29/11/18,N/E
06/12/18,9.59
13/12/18,N/E
20/12/18,N/E
27/12/18,N/E
03/01/19,N/E
10/01/19,N/E
17/01/19,8.93
24/01/19,N/E
31/01/19,N/E
07/02/19,N/E
14/02/19,N/E
21/02/19,N/E
28/02/19,8.6
07/03/19,N/E
14/03/19,N/E
21/03/19,N/E
28/03/19,N/E
04/04/19,N/E
11/04/19,8.37
17/04/19,N/E
25/04/19,N/E
02/05/19,N/E
09/05/19,N/E
16/05/19,N/E
23/05/19,8.46
30/05/19,N/E
06/06/19,N/E
13/06/19,N/E
20/06/19,N/E
27/06/19,N/E
04/07/19,7.69
11/07/19,N/E
18/07/19,N/E
25/07/19,N/E
01/08/19,N/E
08/08/19,N/E
15/08/19,7.51
22/08/19,N/E
29/08/19,N/E
05/09/19,N/E
12/09/19,N/E
19/09/19,N/E
26/09/19,7.3
03/10/19,N/E
10/10/19,N/E
17/10/19,N/E
24/10/19,N/E
31/10/19,N/E
07/11/19,7.17
14/11/19,N/E
21/11/19,N/E
28/11/19,N/E
05/12/19,N/E
11/12/19,N/E
19/12/19,7.11
26/12/19,N/E
02/01/20,N/E
09/01/20,N/E
16/01/20,N/E
23/01/20,N/E
30/01/20,7.01
06/02/20,N/E
13/02/20,N/E
20/02/20,N/E
27/02/20,N/E
05/03/20,N/E
12/03/20,7
19/03/20,N/E
26/03/20,N/E
02/04/20,N/E
08/04/20,N/E
16/04/20,N/E
23/04/20,8
30/04/20,N/E
07/05/20,N/E
14/05/20,N/E
21/05/20,N/E
28/05/20,N/E
04/06/20,6.9
11/06/20,N/E
18/06/20,N/E
25/06/20,N/E
02/07/20,N/E
09/07/20,N/E
16/07/20,6.42
23/07/20,N/E
30/07/20,N/E
06/08/20,N/E
13/08/20,N/E
20/08/20,N/E
27/08/20,6.66
03/09/20,N/E
10/09/20,N/E
17/09/20,N/E
24/09/20,N/E
01/10/20,N/E
08/10/20,7.02
15/10/20,N/E
22/10/20,N/E
29/10/20,N/E
05/11/20,N/E
12/11/20,N/E
19/11/20,6.85
26/11/20,N/E
03/12/20,N/E
31/12/20,6.26
11/02/21,6.45
25/03/21,7.35
06/05/21,7.69
17/06/21,7.37
29/07/21,7.67
09/09/21,7.52
21/10/21,7.84
02/12/21,7.96
13/01/22,8.19
17/02/22,8.09
24/03/22,8.56
28/04/22,9.11
02/06/22,8.81
07/07/22,8.95
11/08/22,8.61
15/09/22,9.16
20/10/22,9.93
24/11/22,9.28
29/12/22,9.08
26/01/23,8.71
09/03/23,9.36
20/04/23,9.07
01/06/23,9.07
13/07/23,9.02
24/08/23,9.57
05/10/23,10.05
16/11/23,9.67
28/12/23,9.14
08/02/24,9.41
21/03/24,9.48
18/04/24,10.15
06/06/24,10.04
01/08/24,10.02
29/08/24,10.04
03/10/24,9.7
21/11/24,10.13
23/01/25,10.56
27/03/25,9.96
30/04/25,9.86
05/06/25,9.95
07/08/25,9.71
25/09/25,9.17
30/10/25,9.24
04/12/25,9.27
08/01/26,9.29
26/02/26,9.19
09/04/26,9.82
