Fecha,MX_rate,USA_rate,Diferencia
2018-01-01 00:00:00,7.25,1.414516129032258,5.835483870967742
2018-02-01 00:00:00,7.4375,1.4175,6.02
2018-03-01 00:00:00,7.5,1.5061290322580645,5.993870967741936
2018-04-01 00:00:00,7.5,1.6923333333333332,5.807666666666667
2018-05-01 00:00:00,7.5,1.7,5.8
2018-06-01 00:00:00,7.583333333333333,1.8196666666666665,5.7636666666666665
2018-07-01 00:00:00,7.75,1.91,5.84
2018-08-01 00:00:00,7.75,1.9148387096774193,5.8351612903225805
2018-09-01 00:00:00,7.75,1.9546666666666668,5.795333333333334
2018-10-01 00:00:00,7.75,2.187741935483871,5.562258064516129
2018-11-01 00:00:00,7.883333333333334,2.197666666666667,5.685666666666666
2018-12-01 00:00:00,8.096774193548388,2.274193548387097,5.822580645161291
2019-01-01 00:00:00,8.25,2.4,5.85
2019-02-01 00:00:00,8.25,2.4,5.85
2019-03-01 00:00:00,8.25,2.4051612903225807,5.844838709677419
2019-04-01 00:00:00,8.25,2.423666666666667,5.8263333333333325
2019-05-01 00:00:00,8.25,2.390967741935484,5.859032258064516
2019-06-01 00:00:00,8.25,2.377666666666667,5.872333333333334
2019-07-01 00:00:00,8.25,2.4029032258064515,5.847096774193549
2019-08-01 00:00:00,8.112903225806452,2.1258064516129034,5.987096774193549
2019-09-01 00:00:00,7.958333333333333,2.043,5.915333333333333
2019-10-01 00:00:00,7.75,1.8296774193548386,5.920322580645161
2019-11-01 00:00:00,7.608333333333333,1.5533333333333335,6.055
2019-12-01 00:00:00,7.395161290322581,1.550967741935484,5.844193548387097
2020-01-01 00:00:00,7.25,1.5506451612903225,5.699354838709677
2020-02-01 00:00:00,7.107142857142857,1.5831034482758621,5.524039408866995
2020-03-01 00:00:00,6.8,0.6522580645161291,6.147741935483871
2020-04-01 00:00:00,6.333333333333333,0.049,6.284333333333333
2020-05-01 00:00:00,5.709677419354839,0.05,5.659677419354839
2020-06-01 00:00:00,5.4,0.07766666666666668,5.322333333333334
2020-07-01 00:00:00,5.0,0.09258064516129033,4.9074193548387095
2020-08-01 00:00:00,4.716666666666667,0.09516129032258065,4.6215053763440865
2020-09-01 00:00:00,4.45,0.09,4.36
2020-10-01 00:00:00,4.25,0.09,4.16
