Fecha,Tasa
04/01/18,3.74
11/01/18,N/E
18/01/18,N/E
25/01/18,N/E
01/02/18,3.78
08/02/18,N/E
15/02/18,N/E
22/02/18,N/E
01/03/18,3.94
08/03/18,N/E
15/03/18,N/E
22/03/18,N/E
28/03/18,3.93
05/04/18,N/E
12/04/18,N/E
19/04/18,N/E
26/04/18,3.88
03/05/18,N/E
10/05/18,N/E
17/05/18,N/E
24/05/18,3.86
31/05/18,N/E
07/06/18,N/E
14/06/18,N/E
21/06/18,3.8
28/06/18,N/E
05/07/18,N/E
12/07/18,N/E
19/07/18,3.82
26/07/18,N/E
02/08/18,N/E
09/08/18,N/E
16/08/18,3.75
23/08/18,N/E
30/08/18,N/E
06/09/18,N/E
13/09/18,3.85
20/09/18,N/E
27/09/18,N/E
04/10/18,N/E
11/10/18,3.92
18/10/18,N/E
25/10/18,N/E
01/11/18,N/E
08/11/18,4.17
15/11/18,N/E
22/11/18,N/E
29/11/18,N/E
06/12/18,4.6
13/12/18,N/E
20/12/18,N/E
27/12/18,N/E
03/01/19,N/E
10/01/19,4.25
17/01/19,N/E
24/01/19,N/E
31/01/19,4.29
07/02/19,N/E
14/02/19,N/E
21/02/19,N/E
28/02/19,4.38
07/03/19,N/E
14/03/19,N/E
21/03/19,N/E
28/03/19,4.1
04/04/19,N/E
11/04/19,N/E
17/04/19,N/E
25/04/19,4.04
02/05/19,N/E
09/05/19,N/E
16/05/19,N/E
23/05/19,4.01
30/05/19,N/E
06/06/19,N/E
13/06/19,N/E
20/06/19,3.62
27/06/19,N/E
04/07/19,N/E
11/07/19,N/E
18/07/19,3.75
25/07/19,N/E
01/08/19,N/E
08/08/19,N/E
15/08/19,3.58
22/08/19,N/E
29/08/19,N/E
05/09/19,N/E
12/09/19,3.53
19/09/19,N/E
26/09/19,N/E
03/10/19,N/E
10/10/19,3.29
17/10/19,N/E
24/10/19,N/E
31/10/19,N/E
07/11/19,3.36
14/11/19,N/E
21/11/19,N/E
28/11/19,N/E
05/12/19,3.42
11/12/19,N/E
19/12/19,N/E
26/12/19,N/E
02/01/20,3.44
09/01/20,N/E
16/01/20,N/E
23/01/20,N/E
30/01/20,3.33
06/02/20,N/E
13/02/20,N/E
20/02/20,N/E
27/02/20,3.21
05/03/20,N/E
12/03/20,N/E
19/03/20,N/E
26/03/20,3.93
02/04/20,N/E
08/04/20,N/E
16/04/20,N/E
23/04/20,3.63
30/04/20,N/E
07/05/20,N/E
14/05/20,N/E
21/05/20,3.17
28/05/20,N/E
04/06/20,N/E
11/06/20,N/E
18/06/20,3.14
25/06/20,N/E
02/07/20,N/E
09/07/20,N/E
16/07/20,3.08
23/07/20,N/E
30/07/20,N/E
06/08/20,N/E
13/08/20,2.95
20/08/20,N/E
27/08/20,N/E
03/09/20,N/E
10/09/20,3.06
17/09/20,N/E
24/09/20,N/E
01/10/20,N/E
08/10/20,3.21
15/10/20,N/E
22/10/20,N/E
29/10/20,N/E
05/11/20,N/E
12/11/20,3.19
19/11/20,N/E
26/11/20,N/E
03/12/20,3.07
31/12/20,2.94
04/02/21,2.57
25/02/21,2.93
25/03/21,3.21
29/04/21,3.57
27/05/21,3.53
24/06/21,3.41
22/07/21,3.51
19/08/21,3.45
15/09/21,3.43
14/10/21,3.39
11/11/21,3.4
09/12/21,3.48
06/01/22,3.6
03/02/22,3.81
03/03/22,3.93
31/03/22,3.94
28/04/22,4
26/05/22,4.06
30/06/22,4.05
21/07/22,4.29
18/08/22,4.04
15/09/22,4.28
13/10/22,4.59
10/11/22,4.79
08/12/22,4.19
26/01/23,4.2
23/02/23,4.35
23/03/23,4.4
20/04/23,4.45
18/05/23,4.67
22/06/23,4.48
13/07/23,4.57
10/08/23,4.53
07/09/23,4.69
26/10/23,4.98
23/11/23,4.72
21/12/23,4.35
18/01/24,4.28
15/02/24,4.58
14/03/24,4.64
11/04/24,4.76
02/05/24,5.21
30/05/24,5.15
11/07/24,5.13
22/08/24,5.03
26/09/24,4.85
17/10/24,5.2
28/11/24,5.48
19/12/24,5.67
30/01/25,5.54
27/02/25,5.21
27/03/25,4.99
24/04/25,5.07
22/05/25,4.92
19/06/25,4.99
31/07/25,4.9
28/08/25,4.81
25/09/25,4.41
16/10/25,4.27
13/11/25,4.72
11/12/25,4.3
29/01/26,4.25
12/03/26,4.16
01/04/26,4.65
