Fecha,Suma,Tasa,Diferencia
2019-01-01 00:00:00,8.665605546839423,8.25,0.41560554683942286
2019-02-01 00:00:00,8.120668138871238,8.25,-0.12933186112876172
2019-03-01 00:00:00,8.164342057652878,8.25,-0.08565794234712243
2019-04-01 00:00:00,8.4532923201049,8.25,0.20329232010490017
2019-05-01 00:00:00,8.202077701678899,8.25,-0.04792229832110095
2019-06-01 00:00:00,7.447633231363712,8.25,-0.8023667686362881
2019-07-01 00:00:00,7.2414411114113655,8.25,-1.0085588885886345
2019-08-01 00:00:00,6.6524407913067645,8.112903225806452,-1.4604624344996875
2019-09-01 00:00:00,6.627512807554714,7.958333333333333,-1.330820525778619
2019-10-01 00:00:00,6.419518927444786,7.75,-1.330481072555214
2019-11-01 00:00:00,6.374497326569115,7.608333333333333,-1.2338360067642187
2019-12-01 00:00:00,6.368576975344599,7.395161290322581,-1.026584314977982
2020-01-01 00:00:00,6.798352019241964,7.25,-0.451647980758036
2020-02-01 00:00:00,6.906194181162027,7.107142857142857,-0.20094867598082988
2020-03-01 00:00:00,6.429062584560658,6.8,-0.3709374154393421
2020-04-01 00:00:00,5.848148863625377,6.333333333333333,-0.48518446970795637
2020-05-01 00:00:00,5.127271027675259,5.709677419354839,-0.5824063916795801
2020-06-01 00:00:00,5.184010977841007,5.4,-0.2159890221589933
2020-07-01 00:00:00,4.9534050556000375,5.0,-0.04659494439996248
2020-08-01 00:00:00,5.1184228802932346,4.716666666666667,0.40175621362656777
2020-09-01 00:00:00,5.1237769140482285,4.45,0.6737769140482284
2020-10-01 00:00:00,5.086964010602556,4.25,0.8369640106025562
2020-11-01 00:00:00,4.481877812161821,4.25,0.23187781216182124
2020-12-01 00:00:00,4.350074574735218,4.25,0.10007457473521786
2021-01-01 00:00:00,4.575092581284571,4.25,0.3250925812845713
2021-02-01 00:00:00,4.559039751517923,4.098214285714286,0.46082546580363726
2021-03-01 00:00:00,5.606878825885923,4.0,1.6068788258859232
2021-05-01 00:00:00,7.333822648405256,4.0,3.333822648405256
