Fecha,INPC,year,month,base,Var%
2024-09-01 00:00:00,136.08,2024,9,132.373,2.8004200252317535
2024-10-01 00:00:00,136.828,2024,10,132.373,3.3654899413022354
2024-11-01 00:00:00,137.424,2024,11,132.373,3.8157328156044112
2024-12-01 00:00:00,137.949,2024,12,132.373,4.212339374343732
2025-01-01 00:00:00,138.343,2025,1,137.949,0.2856127989329327
2025-02-01 00:00:00,138.726,2025,2,137.949,0.563251636474349
2025-03-01 00:00:00,139.161,2025,3,137.949,0.8785855642302609
2025-04-01 00:00:00,139.62,2025,4,137.949,1.2113172259313076
2025-05-01 00:00:00,140.012,2025,5,137.949,1.4954802137021606
2025-06-01 00:00:00,140.405,2025,6,137.949,1.7803681070540422
2025-07-01 00:00:00,140.78,2025,7,137.949,2.052207699947073
2025-08-01 00:00:00,140.867,2025,8,137.949,2.115274485498242
2025-09-01 00:00:00,141.197,2025,9,137.949,2.3544933272441115
2025-10-01 00:00:00,141.708,2025,10,137.949,2.724920079159676
2025-11-01 00:00:00,142.645,2025,11,137.949,3.4041566086017383
2025-12-01 00:00:00,143.042,2025,12,137.949,3.6919441242778017
2026-01-01 00:00:00,143.588,2026,1,143.042,0.3817060723423804
2026-02-01 00:00:00,144.307,2026,2,143.042,0.8843556437969191
