Fecha,Tasa
04/01/18,N/E
11/01/18,N/E
18/01/18,7.86
25/01/18,N/E
01/02/18,N/E
08/02/18,N/E
15/02/18,N/E
22/02/18,N/E
01/03/18,7.92
08/03/18,N/E
15/03/18,N/E
22/03/18,N/E
28/03/18,N/E
05/04/18,N/E
12/04/18,7.53
19/04/18,N/E
26/04/18,N/E
03/05/18,N/E
10/05/18,N/E
17/05/18,N/E
24/05/18,7.9
31/05/18,N/E
07/06/18,N/E
14/06/18,N/E
21/06/18,N/E
28/06/18,N/E
05/07/18,7.72
12/07/18,N/E
19/07/18,N/E
26/07/18,N/E
02/08/18,N/E
09/08/18,N/E
16/08/18,7.96
23/08/18,N/E
30/08/18,N/E
06/09/18,N/E
13/09/18,N/E
20/09/18,N/E
27/09/18,8.18
04/10/18,N/E
11/10/18,N/E
18/10/18,N/E
25/10/18,N/E
01/11/18,N/E
08/11/18,8.81
15/11/18,N/E
22/11/18,N/E
29/11/18,N/E
06/12/18,N/E
13/12/18,N/E
20/12/18,9.12
27/12/18,N/E
03/01/19,N/E
10/01/19,N/E
17/01/19,N/E
24/01/19,N/E
31/01/19,8.69
07/02/19,N/E
14/02/19,N/E
21/02/19,N/E
28/02/19,N/E
07/03/19,N/E
14/03/19,8.47
21/03/19,N/E
28/03/19,N/E
04/04/19,N/E
11/04/19,N/E
17/04/19,N/E
25/04/19,8.57
02/05/19,N/E
09/05/19,N/E
16/05/19,N/E
23/05/19,N/E
30/05/19,N/E
06/06/19,8.36
13/06/19,N/E
20/06/19,N/E
27/06/19,N/E
04/07/19,N/E
11/07/19,N/E
18/07/19,8.09
25/07/19,N/E
01/08/19,N/E
08/08/19,N/E
15/08/19,N/E
22/08/19,N/E
29/08/19,7.52
05/09/19,N/E
12/09/19,N/E
19/09/19,N/E
26/09/19,N/E
03/10/19,N/E
10/10/19,7.17
17/10/19,N/E
24/10/19,N/E
31/10/19,N/E
07/11/19,N/E
14/11/19,N/E
21/11/19,7.32
28/11/19,N/E
05/12/19,N/E
11/12/19,N/E
19/12/19,N/E
26/12/19,N/E
02/01/20,7.19
09/01/20,N/E
16/01/20,N/E
23/01/20,N/E
30/01/20,N/E
06/02/20,N/E
13/02/20,6.88
20/02/20,N/E
27/02/20,N/E
05/03/20,N/E
12/03/20,N/E
19/03/20,N/E
26/03/20,8.7
02/04/20,N/E
08/04/20,N/E
16/04/20,N/E
23/04/20,N/E
30/04/20,N/E
07/05/20,7.51
14/05/20,N/E
21/05/20,N/E
28/05/20,N/E
04/06/20,N/E
11/06/20,N/E
18/06/20,7.11
25/06/20,N/E
02/07/20,N/E
09/07/20,N/E
16/07/20,N/E
23/07/20,N/E
30/07/20,6.83
06/08/20,N/E
13/08/20,N/E
20/08/20,N/E
27/08/20,N/E
03/09/20,N/E
10/09/20,6.98
17/09/20,N/E
24/09/20,N/E
01/10/20,N/E
08/10/20,N/E
15/10/20,N/E
22/10/20,7.15
29/10/20,N/E
05/11/20,N/E
12/11/20,N/E
19/11/20,N/E
26/11/20,N/E
03/12/20,6.86
14/01/21,6.77
25/02/21,N/E
08/04/21,7.75
20/05/21,7.75
01/07/21,7.45
12/08/21,7.79
23/09/21,7.78
04/11/21,7.98
16/12/21,7.93
27/01/22,8.04
03/03/22,8.34
07/04/22,8.59
12/05/22,9.29
16/06/22,9.34
21/07/22,9.36
25/08/22,8.84
29/09/22,9.77
03/11/22,9.94
08/12/22,9.03
09/02/23,8.85
23/03/23,9.35
04/05/23,9.12
15/06/23,9.06
27/07/23,8.91
07/09/23,9.51
19/10/23,9.8
30/11/23,9.6
11/01/24,9.18
22/02/24,9.43
04/04/24,9.6
09/05/24,9.65
20/06/24,10.16
18/07/24,9.93
05/09/24,10.05
24/10/24,10.38
05/12/24,10.26
06/02/25,10.32
06/03/25,10.11
16/04/25,10.2
29/05/25,10.01
03/07/25,9.77
04/09/25,9.57
09/10/25,9.32
06/11/25,9.4
18/12/25,9.52
05/02/26,9.29
19/03/26,9.67
23/04/26,9.5
