Date,Close
01/01/2021,110.21
01/02/2021,110.907
01/03/2021,111.824
01/04/2021,112.19
01/05/2021,112.419
01/06/2021,113.018
01/07/2021,113.682
01/08/2021,113.899
01/09/2021,114.601
01/10/2021,115.561
01/11/2021,116.884
01/12/2021,117.308
01/01/2022,118.002
01/02/2022,118.981
01/03/2022,120.159
01/04/2022,120.809
01/05/2022,121.022
01/06/2022,122.044
01/07/2022,122.948
01/08/2022,123.803
01/09/2022,124.571
01/10/2022,125.276
01/11/2022,125.997
01/12/2022,126.478
01/01/2023,127.336
01/02/2023,128.046
01/03/2023,128.389
01/04/2023,128.363
01/05/2023,128.084
01/06/2023,128.214
01/07/2023,128.832
01/08/2023,129.545
01/09/2023,130.12
01/10/2023,130.609
01/11/2023,131.445
01/12/2023,132.373
01/01/2024,133.555
01/02/2024,133.681
01/03/2024,134.065
01/04/2024,134.336
01/05/2024,134.087
01/06/2024,134.594
01/07/2024,136.003
01/08/2024,136.013
01/09/2024,136.08
01/10/2024,136.828
01/11/2024,137.424
01/12/2024,137.949
01/01/2025,138.343
01/02/2025,138.726
01/03/2025,139.161
01/04/2025,139.62
01/05/2025,140.012
01/06/2025,140.405
01/07/2025,140.78
01/08/2025,140.867
01/09/2025,141.197
01/10/2025,141.708
01/11/2025,142.645
