Date,Close
01/04/21,261.582
01/05/21,263.014
01/06/21,264.877
01/07/21,267.054
01/08/21,269.195
01/09/21,271.696
01/10/21,273.003
01/11/21,273.567
01/12/21,274.31
01/01/22,276.589
01/02/22,277.948
01/03/22,278.802
01/04/22,281.148
01/05/22,283.716
01/06/22,287.504
01/07/22,289.109
01/08/22,292.296
01/09/22,296.311
01/10/22,296.276
01/11/22,296.171
01/12/22,296.808
01/01/23,298.012
01/02/23,297.711
01/03/23,296.797
01/04/23,299.17
01/05/23,300.84
01/06/23,301.836
01/07/23,303.363
01/08/23,304.127
01/09/23,305.109
01/10/23,305.691
01/11/23,307.026
01/12/23,307.789
01/01/24,307.671
01/02/24,307.051
01/03/24,306.746
01/04/24,308.417
01/05/24,310.326
01/06/24,312.332
01/07/24,313.548
01/08/24,314.069
01/09/24,314.175
01/10/24,314.54
01/11/24,314.796
01/12/24,315.301
01/01/25,315.664
01/02/25,315.493
01/03/25,315.605
01/04/25,317.671
01/05/25,319.082
01/06/25,319.799
01/07/25,320.795
01/08/25,321.465
01/09/25,322.561
01/10/25,323.048
01/11/25,323.976
01/12/25,324.8
